Date 20200220
Time 194229
SubjectID 002
Block_Type 0
Trial 0
Redo 0
VidA0
VidB0
--
Device_Num Time Trial Redo TrialType Vid1 Vid2 VidType VidStatus Instruct TMS CResp Resp Correct Score Practice Latency 
-----
0 66883 1 0 40 43 2 0 1 1 1 0 0 0 0 283
0 81595 2 0 14 15 0 0 1 -1 0 0 1 1 0 277
0 96123 3 0 25 26 2 0 1 -1 1 1 1 2 0 297
0 110802 4 0 9 10 1 0 1 1 1 1 1 3 0 323
0 125650 5 0 46 47 0 0 1 -1 0 0 1 4 0 308
0 140322 6 0 44 47 2 0 1 1 1 1 1 5 0 263
0 154961 7 0 33 34 2 0 1 -1 1 1 1 6 0 288
0 169698 8 0 42 7 3 0 1 -1 1 1 1 7 0 310
0 184465 9 0 5 6 1 0 1 1 1 0 0 7 0 281
0 198938 10 0 21 22 1 0 1 -1 1 1 1 8 0 249
0 227065 11 1 4 29 3 0 1 1 1 1 1 9 0 305
0 241680 12 0 41 20 3 0 1 1 1 1 1 10 0 304
0 256145 13 0 24 25 0 0 1 -1 0 0 1 11 0 264
0 1211569 14 0 38 39 0 0 1 1 0 1 0 11 0 940921
0 1226137 15 0 0 3 1 0 1 -1 1 1 1 12 0 265
0 1240697 16 0 11 32 3 0 1 -1 1 1 1 13 0 231
0 1255145 17 0 16 17 0 0 1 1 0 0 1 14 0 244
0 1269880 18 0 0 1 0 0 1 1 0 0 1 15 0 279
0 1284616 19 0 37 38 2 0 1 1 1 1 1 16 0 283
0 1299208 20 0 16 19 1 0 1 -1 1 1 1 17 0 273
0 1313791 21 0 12 15 1 0 1 1 1 1 1 18 0 265
0 1328487 22 0 35 30 3 0 1 1 1 1 1 19 0 295
0 1343063 23 0 8 23 3 0 1 -1 1 1 1 20 0 246
0 1357815 24 0 28 31 2 0 1 -1 1 0 0 20 0 358
