Date 20200221
Time 144137
SubjectID 002
Block_Type 0
Trial 0
Redo 0
VidA0
VidB0
--
Device_Num Time Trial Redo TrialType Vid1 Vid2 VidType VidStatus Instruct TMS CResp Resp Correct Score Practice Latency 
-----
0 53971 1 0 30 31 0 0 1 1 0 0 1 1 0 271
0 68603 2 0 32 33 0 0 1 -1 0 0 1 2 0 307
0 83027 3 0 1 2 1 0 1 1 1 0 0 2 0 219
0 97675 4 0 26 47 3 0 1 1 1 1 1 3 0 298
0 112226 5 0 20 21 0 0 1 -1 0 0 1 4 0 296
0 126762 6 0 6 7 0 0 1 -1 0 0 1 5 0 289
0 141523 7 0 36 39 2 0 1 -1 1 1 1 6 0 298
0 156193 8 0 17 18 1 0 1 1 1 1 1 7 0 287
0 817904 9 0 13 14 1 0 1 -1 1 1 1 8 0 647263
0 832535 10 0 19 44 3 0 1 -1 1 1 1 9 0 320
0 847111 11 0 0 25 3 0 1 1 1 1 1 10 0 287
0 861790 12 0 29 30 2 0 1 1 1 1 1 11 0 253
