Date 20200128
Time 140118
SubjectID 0002
Block_Type 0
Trial 0
Redo 0
VidA0
VidB0
--
Device_Num Time Trial Redo TrialType Vid1 Vid2 VidType VidStatus Instruct CResp Resp Correct Score Practice Latency 
-----
0 24411 1 0 47 4 3 0 1 1 1 1 1 0 243
0 42548 2 0 29 30 2 0 1 1 1 1 2 0 257
0 61218 3 0 22 15 3 0 1 1 1 1 3 0 231
0 77547 4 0 24 23 3 0 1 1 1 1 4 0 237
0 95586 5 0 2 3 0 0 1 0 0 1 5 0 235
0 113331 6 0 31 26 3 0 1 1 1 1 6 0 253
0 131137 7 0 11 36 3 0 1 1 1 1 7 0 228
0 146626 8 0 34 35 0 0 1 0 1 0 7 0 445
0 166257 9 0 40 41 0 0 1 0 0 1 8 0 274
0 203024 10 1 44 45 0 0 1 0 0 1 9 0 262
0 219060 11 0 6 7 0 0 1 0 0 1 10 0 267
0 239400 12 0 13 14 1 0 1 1 1 1 11 0 284
0 257274 13 0 14 43 3 0 1 1 1 1 12 0 235
0 274195 14 0 5 32 3 0 1 1 1 1 13 0 253
0 291760 15 0 38 39 0 0 1 0 0 1 14 0 279
0 311506 16 0 17 18 1 0 1 1 1 1 15 0 278
0 329844 17 0 16 1 3 0 1 1 1 1 16 0 270
0 350758 18 0 12 13 0 0 1 0 0 1 17 0 260
0 368725 19 0 40 43 2 0 1 1 1 1 18 0 250
0 386587 20 0 37 10 3 0 1 1 1 1 19 0 281
0 403976 21 0 0 3 1 0 1 1 1 1 20 0 269
0 421316 22 0 5 6 1 0 1 1 1 1 21 0 280
0 439662 23 0 20 21 0 0 1 0 0 1 22 0 248
0 455458 24 0 0 25 3 0 1 1 1 1 23 0 263
0 473340 25 0 26 27 0 0 1 0 0 1 24 0 261
0 489616 26 0 24 27 2 0 1 1 1 1 25 0 276
0 506043 27 0 8 11 1 0 1 1 1 1 26 0 266
0 525713 28 0 18 19 0 0 1 0 0 1 27 0 266
0 543745 29 0 42 17 3 0 1 1 1 1 28 0 236
0 561487 30 0 45 46 2 0 1 1 1 1 29 0 269
0 579707 31 0 20 23 1 0 1 1 1 1 30 0 271
0 597857 32 0 28 29 0 0 1 0 0 1 31 0 268
0 615163 33 0 36 39 2 0 1 1 1 1 32 0 245
0 629552 34 0 8 9 0 0 1 0 0 1 33 0 242
